Topic,Phrase_FR,Phrase_EN
INFRA,Le routeur a grillé coupure de courant.,The router burned out power cut.
BUSINESS,Le deal est bloqué(e) au juridique pour le Q4.,The deal is stuck at legal for Q4.
GOSSIP,La directrice est un lèche-bottes franchement.,The director is a bootlicker honestly.
GOSSIP,C'est un est hypocrite à la machine à café.,He is a is hypocritical at the coffee machine.
TECH,Le fichier JSON provoque un segfault à la ligne 42.,The JSON file causes a segfault at line 42.
HR_HIRING,Les RTT est trop bas(se) si tu signes demain.,Days off is too low if you sign tomorrow.
ACCOUNTING,Le passif circulant est incorrecte dans les livres légaux.,Current liabilities is incorrect in statutory books.
BUSINESS,La marge commerciale est perdu(e) sur le marché US.,Commercial margin is lost on the US market.
INFRA,La mémoire RAM doit être redémarré dans la salle serveur.,RAM memory must be rebooted in server room.
ACCOUNTING,La note de frais est incorrecte suite à l'erreur de saisie.,The expense report is incorrect following data entry error.
HR_HIRING,Le télétravail inclut des actions après la période d'essai.,Remote work includes shares after probation.
ACCOUNTING,La liasse fiscale est imputé(e) par erreur pour la clôture mensuelle.,Tax package is wrongly allocated for monthly closing.
BUSINESS,L'appel d'offres doit être relancé(e) pour atteindre les objectifs.,The tender must be followed up to reach targets.
BUSINESS,La marge commerciale est gagné(e) pour le Q4.,Commercial margin is won for Q4.
BUSINESS,L'appel d'offres est perdu(e) selon le CRM.,The tender is lost according to CRM.
ACCOUNTING,Le bilan montre un écart avant l'audit.,The balance sheet shows a discrepancy before the audit.
LOVE,Tu es ma vie.,You are my life.
BUSINESS,L'appel d'offres hésite encore selon le CRM.,The tender is still hesitating according to CRM.
INFRA,La mémoire RAM doit être redémarré alerte monitoring.,RAM memory must be rebooted monitoring alert.
BANKING,Confirme le virement SEPA sans contact.,Confirm the SEPA transfer contactless.
BANKING,Autorise la transaction c'est une fraude.,Authorize the transaction it is a fraud.
BANKING,Rejette le virement tout de suite.,Reject the transfer immediately.
CYBER,Le phishing chiffre les données par le WAF.,Phishing encrypts data by the WAF.
BUSINESS,La marge commerciale est perdu(e) pour le Q4.,Commercial margin is lost for Q4.
HR_COMPLAINT,Je subis une plainte et je saisis les prud'hommes.,I suffer a complaint and I contact labor court.
HR_HIRING,La rémunération augmente de 10% selon la grille RH.,The remuneration increases by 10% according to HR grid.
HR_COMPLAINT,L'ambiance est inacceptable au travail.,The atmosphere is unacceptable at work.
TECH,La classe renvoie une erreur 404 erreur de syntaxe.,The class returns a 404 error syntax error.
BUSINESS,Le partenariat est perdu(e) pour valider le budget.,The partnership is lost to validate budget.
BANKING,Débloque le débit sur le compte joint.,Unblock the debit on the joint account.
TECH,L'exception est null au runtime.,The exception is null at runtime.
HR_HIRING,Le brut annuel augmente de 10% après la période d'essai.,Annual gross increases by 10% after probation.
TECH,La variable est mal indenté(e) dans la librairie.,The variable is poorly indented in the library.
BANKING,Rejette le prélèvement immédiatement.,Reject the direct debit right now.
CYBER,Tentative d'intrusion mis en quarantaine patch de sécurité requis.,Intrusion attempt quarantined security patch required.
HR_HIRING,Le variable est au-dessus du marché avec une prime à la signature.,The variable pay is above market with a signing bonus.
BUSINESS,Le deal est gagné(e) avec la clause de sortie.,The deal is won with the exit clause.
CYBER,Le firewall contourne la sécurité exfiltration de données.,The firewall bypasses security data exfiltration.
INFRA,La bande passante a grillé dans la salle serveur.,Bandwidth burned out in server room.
HR_COMPLAINT,Ma sécurité porte atteinte à ma dignité selon le règlement intérieur.,My safety affects my dignity according to internal rules.
BANKING,Refuse le chèque c'est une fraude.,Decline the check it is a fraud.
HR_HIRING,Le package est au-dessus du marché pour ce poste senior.,The package is above market for this senior position.
GOSSIP,Ce manager est un fumiste il sert à rien.,This manager is a slacker he is useless.
HR_COMPLAINT,Je dépose est une faute grave selon le règlement intérieur.,I file is serious misconduct according to internal rules.
BUSINESS,La propale doit être relancé(e) sur le marché US.,The proposal must be followed up on the US market.
ACCOUNTING,La facture fournisseur est fausse dans le logiciel SAP.,Supplier invoice is wrong in SAP software.
HR_COMPLAINT,Je dépose est inacceptable depuis des mois.,I file is unacceptable for months.
LOVE,Tendrement.,Tenderly.
CYBER,Le phishing a été bloqué(e) exfiltration de données.,Phishing was blocked data exfiltration.
ACCOUNTING,Le compte de résultat est en attente dans le logiciel SAP.,The income statement is pending in SAP software.
INFRA,Le disque dur fait du bruit erreur matérielle.,The hard drive makes noise hardware error.
BANKING,Valide le code PIN pour suspicion.,Validate the PIN code for suspicion.
HR_COMPLAINT,Ce comportement une rupture conventionnelle et j'ai vu la médecine du travail.,This behavior a mutual termination and I saw occupational health.
ACCOUNTING,La note de frais pose problème d'un point de vue comptable.,The expense report is problematic from an accounting perspective.
TECH,La classe lance une stacktrace après le commit.,The class throws a stacktrace after commit.
INFRA,Le cluster doit être redémarré ping élevé.,The cluster must be rebooted high ping.
INFRA,Le processeur CPU ne répond plus alerte monitoring.,The CPU processor is not responding monitoring alert.
TECH,L'exception renvoie une erreur 404 à la ligne 42.,The exception returns a 404 error at line 42.
BUSINESS,L'appel d'offres est bloqué(e) au juridique avant la deadline.,The tender is stuck at legal before the deadline.
HR_COMPLAINT,Le harcèlement est une faute grave vis-à-vis de l'équipe.,Harassment is serious misconduct regarding the team.
HR_HIRING,Le télétravail est de 45k pour ce poste senior.,Remote work is 45k for this senior position.
BANKING,Annule le chèque je suis à découvert.,Cancel the check I am overdrawn.
HR_COMPLAINT,La pression est anxiogène depuis des mois.,The pressure is anxiety-inducing for months.
CYBER,L'authentification 2FA contourne la sécurité sur la DMZ.,2FA authentication bypasses security on the DMZ.
ACCOUNTING,Le passif circulant montre un écart suite à l'erreur de saisie.,Current liabilities shows a discrepancy following data entry error.
INFRA,La latence réseau a grillé dans la salle serveur.,Network latency burned out in server room.
INFRA,La mémoire RAM doit être redémarré coupure de courant.,RAM memory must be rebooted power cut.
INFRA,La bande passante est déconnecté ping élevé.,Bandwidth is disconnected high ping.
HR_HIRING,L'embauche est validé(e) si tu signes demain.,The hiring is validated if you sign tomorrow.
BANKING,Rejette le prélèvement sur le compte joint.,Reject the direct debit on the joint account.
BUSINESS,La marge commerciale se termine demain selon le CRM.,Commercial margin ends tomorrow according to CRM.
BANKING,Suspends le plafond pour suspicion.,Suspend the limit for suspicion.
ACCOUNTING,Le compte de résultat est en attente dans le journal des achats.,The income statement is pending in the purchase journal.
BANKING,Bloque la transaction je suis à découvert.,Block the transaction I am overdrawn.
INFRA,Le serveur perd des paquets dans la salle serveur.,The server loses packets in server room.
BANKING,Oppose le débit code erroné.,Stop the debit wrong code.
TECH,La fonction renvoie une erreur 404 dans le main.,The function returns a 404 error in main.
BANKING,Confirme le débit c'est une fraude.,Confirm the debit it is a fraud.
TECH,Le script Python est déprécié(e) au runtime.,The Python script is deprecated at runtime.
BANKING,Vérifie le prélèvement je suis à découvert.,Check the direct debit I am overdrawn.
HR_COMPLAINT,Le management est une faute grave vis-à-vis de l'équipe.,The management is serious misconduct regarding the team.
BANKING,Confirme le débit immédiatement.,Confirm the debit right now.
HR_HIRING,La rémunération est validé(e) après la période d'essai.,The remuneration is validated after probation.
HR_COMPLAINT,Ce comportement est toxique au travail.,This behavior is toxic at work.
GOSSIP,Le chef ne sait rien faire à la machine à café.,The boss can't do anything at the coffee machine.
HR_COMPLAINT,Le management est inacceptable immédiatement.,The management is unacceptable immediately.
ACCOUNTING,La provision pose problème au passif du bilan.,The provision is problematic on the liability side.
BANKING,Rejette le paiement code erroné.,Reject the payment wrong code.
GOSSIP,La directrice se la raconte il sert à rien.,The director shows off he is useless.
BUSINESS,La propale doit être relancé(e) pour le Q4.,The proposal must be followed up for Q4.
BUSINESS,Le client se termine demain selon le CRM.,The client ends tomorrow according to CRM.
TECH,La boucle while est déprécié(e) à la ligne 42.,The while loop is deprecated at line 42.
BANKING,Annule le débit c'est une fraude.,Cancel the debit it is a fraud.
BANKING,Valide le paiement immédiatement.,Validate the payment right now.
ACCOUNTING,Le bilan est en attente pour la clôture mensuelle.,The balance sheet is pending for monthly closing.
BUSINESS,Le pipeline est envoyé(e) face à la concurrence.,The pipeline is sent against competition.
ACCOUNTING,Le grand livre n'est pas lettré(e) avant l'audit.,The general ledger is not reconciled before the audit.
ACCOUNTING,L'amortissement n'est pas comptabilisé(e) selon les normes IFRS.,The depreciation is not recorded according to IFRS.
HR_HIRING,Le télétravail inclut des actions sur 13 mois.,Remote work includes shares over 13 months.
TECH,La boucle while est null fuite de mémoire.,The while loop is null memory leak.
INFRA,La carte mère perd des paquets ping élevé.,The motherboard loses packets high ping.
ACCOUNTING,L'avoir client manque de justificatif dans les livres légaux.,Customer credit note lacks proof in statutory books.
ACCOUNTING,La trésorerie n'est pas lettré(e) sur l'exercice N-1.,Cash flow is not reconciled on year N-1.
ACCOUNTING,L'actif immobilisé n'est pas lettré(e) avant l'audit.,Fixed assets is not reconciled before the audit.
TECH,La variable est déprécié(e) problème de dépendance.,The variable is deprecated dependency issue.
INFRA,Le disque dur perd des paquets dans la salle serveur.,The hard drive loses packets in server room.
ACCOUNTING,La note de frais est à revoir dans les livres légaux.,The expense report needs review in statutory books.
TECH,La classe est undefined après le commit.,The class is undefined after commit.
GOSSIP,Le nouveau est un lèche-bottes c'est une blague.,The new guy is a bootlicker it's a joke.
INFRA,La carte mère a grillé erreur matérielle.,The motherboard burned out hardware error.
CYBER,L'authentification 2FA mis en quarantaine depuis une IP suspecte.,2FA authentication quarantined from suspicious IP.
HR_HIRING,Les RTT dépend de l'expérience si tu signes demain.,Days off depends on experience if you sign tomorrow.
HR_HIRING,Les tickets resto est compétitif sur 13 mois.,Meal vouchers is competitive over 13 months.
ACCOUNTING,L'actif immobilisé n'est pas comptabilisé(e) avant l'audit.,Fixed assets is not recorded before the audit.
HR_HIRING,Le brut annuel augmente de 10% pour ce poste senior.,Annual gross increases by 10% for this senior position.
GOSSIP,Elle est bizarre il sert à rien.,She is weird he is useless.
CYBER,Le firewall sur le port 22 sur la DMZ.,The firewall on port 22 on the DMZ.
GOSSIP,Ce type est bête depuis qu'il est arrivé.,This guy is stupid since he arrived.
HR_HIRING,La rémunération est au-dessus du marché pour ce poste senior.,The remuneration is above market for this senior position.
BUSINESS,La négociation avance bien face à la concurrence.,The negotiation is progressing well against competition.
TECH,Le framework lance une stacktrace paramètre manquant.,The framework throws a stacktrace missing parameter.
HR_HIRING,La mutuelle sera versé(e) hors avantages en nature.,Health insurance will be paid excluding benefits.
BUSINESS,Le pipeline doit être relancé(e) pour atteindre les objectifs.,The pipeline must be followed up to reach targets.
INFRA,Le routeur sature alerte monitoring.,The router is maxing out monitoring alert.
HR_HIRING,Ton salaire est négociable hors avantages en nature.,Your salary is negotiable excluding benefits.
ACCOUNTING,La déclaration de TVA est à revoir dans les livres légaux.,The VAT return needs review in statutory books.
CYBER,Le firewall en cours patch de sécurité requis.,The firewall in progress security patch required.
GOSSIP,Le chef est hypocrite c'est hallucinant.,The boss is hypocritical it is mind-blowing.
BUSINESS,Le prospect est prioritaire avant la deadline.,The prospect is priority before the deadline.
TECH,La boucle while n'est pas typé(e) dans le main.,The while loop is not typed in main.
CYBER,L'antivirus sur le port 22 depuis une IP suspecte.,The antivirus on port 22 from suspicious IP.
CYBER,Le scan de vulnérabilité inconnue détectée sur la DMZ.,Vulnerability scan unknown detected on the DMZ.
GOSSIP,Ce type est incompétent franchement.,This guy is incompetent honestly.
HR_HIRING,Le télétravail inclut des actions si tu signes demain.,Remote work includes shares if you sign tomorrow.
HR_COMPLAINT,Le harcèlement est anxiogène selon le règlement intérieur.,Harassment is anxiety-inducing according to internal rules.
TECH,La boucle while est déprécié(e) dans le main.,The while loop is deprecated in main.
BANKING,Débloque le chèque suite au vol.,Unblock the check following theft.
HR_COMPLAINT,Ce comportement une rupture conventionnelle vis-à-vis de l'équipe.,This behavior a mutual termination regarding the team.
ACCOUNTING,La provision manque de justificatif dans le journal des achats.,The provision lacks proof in the purchase journal.
HR_COMPLAINT,Le management ne respecte pas le droit et j'ai vu la médecine du travail.,The management does not respect the law and I saw occupational health.
INFRA,Le processeur CPU perd des paquets coupure de courant.,The CPU processor loses packets power cut.
BANKING,Vérifie la transaction pour suspicion.,Check the transaction for suspicion.
CYBER,Le firewall sur le port 22 compromission du compte.,The firewall on port 22 account compromise.
GOSSIP,C'est une est nul à chier c'est hallucinant.,She is a is absolutely useless it is mind-blowing.
ACCOUNTING,La déclaration de TVA doit être régularisé(e) dans le journal des achats.,The VAT return must be adjusted in the purchase journal.
INFRA,Le routeur ne répond plus sur le node 1.,The router is not responding on node 1.
CYBER,L'antivirus a été bloqué(e) sur la DMZ.,The antivirus was blocked on the DMZ.
GOSSIP,La directrice est bête depuis qu'il est arrivé.,The director is stupid since he arrived.
CYBER,Le firewall inconnue détectée patch de sécurité requis.,The firewall unknown detected security patch required.
ACCOUNTING,L'avoir client n'est pas lettré(e) avant l'audit.,Customer credit note is not reconciled before the audit.
CYBER,Certificat SSL en cours exfiltration de données.,SSL Certificate in progress data exfiltration.
BUSINESS,L'appel d'offres nécessite un rabais pour le Q4.,The tender needs a discount for Q4.
HR_HIRING,L'embauche sera versé(e) si tu signes demain.,The hiring will be paid if you sign tomorrow.
ACCOUNTING,L'amortissement ne s'équilibre pas pour la clôture mensuelle.,The depreciation does not balance for monthly closing.
HR_HIRING,Ton salaire augmente de 10% dans le contrat de travail.,Your salary increases by 10% in the employment contract.
BUSINESS,Le prospect est bloqué(e) au juridique pour le Q4.,The prospect is stuck at legal for Q4.
CYBER,L'antivirus est expiré(e) niveau critique.,The antivirus is expired critical level.
GOSSIP,Le nouveau ne sait rien faire tout le monde le sait.,The new guy can't do anything everyone knows it.
ACCOUNTING,Le rapprochement bancaire montre un écart dans le journal des achats.,Bank reconciliation shows a discrepancy in the purchase journal.
ACCOUNTING,Le passif circulant ne s'équilibre pas dans le journal des achats.,Current liabilities does not balance in the purchase journal.
INFRA,Le serveur est down erreur matérielle.,The server is down hardware error.
ACCOUNTING,La déclaration de TVA n'est pas comptabilisé(e) suite à l'erreur de saisie.,The VAT return is not recorded following data entry error.
BANKING,Oppose la transaction tout de suite.,Stop the transaction immediately.
GOSSIP,C'est un a eu le poste par piston c'est une blague.,He is a got the job by nepotism it's a joke.
INFRA,La carte mère est down il faut remplacer la pièce.,The motherboard is down part needs replacement.
BANKING,Refuse le virement SEPA c'est une fraude.,Decline the SEPA transfer it is a fraud.
ACCOUNTING,L'écriture comptable n'est pas comptabilisé(e) avant l'audit.,The accounting entry is not recorded before the audit.
BUSINESS,Le partenariat va signer avant la deadline.,The partnership will sign before the deadline.
BUSINESS,La clause d'exclusivité est prioritaire selon le CRM.,Exclusivity clause is priority according to CRM.
BUSINESS,Le partenariat est prioritaire face à la concurrence.,The partnership is priority against competition.
BUSINESS,La clause d'exclusivité va signer avant la deadline.,Exclusivity clause will sign before the deadline.
GOSSIP,C'est une est bizarre à la machine à café.,She is a is weird at the coffee machine.
BUSINESS,Le contrat hésite encore avant la deadline.,The contract is still hesitating before the deadline.
INFRA,Le disque dur doit être redémarré dans la salle serveur.,The hard drive must be rebooted in server room.
GOSSIP,Le chef est bizarre il sert à rien.,The boss is weird he is useless.
ACCOUNTING,Le bilan manque de justificatif pour la clôture mensuelle.,The balance sheet lacks proof for monthly closing.
INFRA,Le switch perd des paquets sur le node 1.,The switch loses packets on node 1.
BANKING,Augmente ma carte pour suspicion.,Increase my card for suspicion.
TECH,Le pointeur est en lecture seule erreur de syntaxe.,The pointer is read-only syntax error.
BANKING,Augmente le débit car je n'ai pas fait cet achat.,Increase the debit cause I didn't make this purchase.
CYBER,Payload malveillant est expiré(e) niveau critique.,Malicious payload is expired critical level.
BUSINESS,Le pipeline est prioritaire pour valider le budget.,The pipeline is priority to validate budget.
BUSINESS,La négociation se termine demain pour atteindre les objectifs.,The negotiation ends tomorrow to reach targets.
HR_HIRING,Ton salaire inclut des actions pour ce poste senior.,Your salary includes shares for this senior position.
TECH,La requête HTTP est en lecture seule paramètre manquant.,The HTTP request is read-only missing parameter.
BUSINESS,Le chiffre d'affaires doit être relancé(e) avec la clause de sortie.,Turnover must be followed up with the exit clause.
ACCOUNTING,La déclaration de TVA pose problème dans les livres légaux.,The VAT return is problematic in statutory books.
HR_HIRING,Le variable dépend de l'expérience sur 13 mois.,The variable pay depends on experience over 13 months.
INFRA,La carte mère est hors ligne sur le node 1.,The motherboard is offline on node 1.
CYBER,Tentative d'intrusion signale une alerte exfiltration de données.,Intrusion attempt signals an alert data exfiltration.
BUSINESS,Le client va signer avant la deadline.,The client will sign before the deadline.
BANKING,Annule le débit je suis à découvert.,Cancel the debit I am overdrawn.
INFRA,Le ventilateur perd des paquets il faut remplacer la pièce.,The fan loses packets part needs replacement.
INFRA,Le routeur est déconnecté erreur matérielle.,The router is disconnected hardware error.
ACCOUNTING,Le bilan ne s'équilibre pas d'un point de vue comptable.,The balance sheet does not balance from an accounting perspective.
BANKING,Valide la transaction car je n'ai pas fait cet achat.,Validate the transaction cause I didn't make this purchase.
BUSINESS,Le chiffre d'affaires est bloqué(e) au juridique face à la concurrence.,Turnover is stuck at legal against competition.
HR_HIRING,Ton salaire est validé(e) pour ce poste senior.,Your salary is validated for this senior position.
INFRA,La latence réseau est plein à 90% il faut remplacer la pièce.,Network latency is 90% full part needs replacement.
INFRA,La mémoire RAM sature coupure de courant.,RAM memory is maxing out power cut.
GOSSIP,Elle est incompétent depuis qu'il est arrivé.,She is incompetent since he arrived.
INFRA,Le routeur est déconnecté dans la salle serveur.,The router is disconnected in server room.
TECH,Le fichier JSON est undefined après le commit.,The JSON file is undefined after commit.
HR_COMPLAINT,Cette situation porte atteinte à ma dignité vis-à-vis de l'équipe.,This situation affects my dignity regarding the team.
INFRA,Le routeur est déconnecté coupure de courant.,The router is disconnected power cut.
BUSINESS,Le pipeline doit être relancé(e) sur le marché US.,The pipeline must be followed up on the US market.
TECH,La variable ne compile pas sur la branche dev.,The variable does not compile on dev branch.
HR_HIRING,L'embauche est de 45k selon la grille RH.,The hiring is 45k according to HR grid.
ACCOUNTING,Le grand livre est incorrecte dans le journal des achats.,The general ledger is incorrect in the purchase journal.
ACCOUNTING,La facture fournisseur est en attente dans les livres légaux.,Supplier invoice is pending in statutory books.
INFRA,Le ventilateur est hors ligne dans la salle serveur.,The fan is offline in server room.
HR_HIRING,L'offre sera versé(e) avec une prime à la signature.,The offer will be paid with a signing bonus.
ACCOUNTING,Le rapprochement bancaire montre un écart pour la clôture mensuelle.,Bank reconciliation shows a discrepancy for monthly closing.
BANKING,Autorise le virement SEPA suite au vol.,Authorize the SEPA transfer following theft.
BUSINESS,L'appel d'offres avance bien pour le Q4.,The tender is progressing well for Q4.
TECH,Le compilateur est mal indenté(e) au runtime.,The compiler is poorly indented at runtime.
INFRA,L'alimentation fait du bruit dans la salle serveur.,Power supply makes noise in server room.
ACCOUNTING,L'avoir client n'est pas lettré(e) selon les normes IFRS.,Customer credit note is not reconciled according to IFRS.
TECH,La classe est déprécié(e) après le commit.,The class is deprecated after commit.
GOSSIP,La directrice a eu le poste par piston je le supporte pas.,The director got the job by nepotism I can't stand him.
ACCOUNTING,Le passif circulant pose problème dans le journal des achats.,Current liabilities is problematic in the purchase journal.
TECH,Le compilateur est undefined erreur de syntaxe.,The compiler is undefined syntax error.
BANKING,Rejette ma carte tout de suite.,Reject my card immediately.
GOSSIP,Ce manager est hypocrite il sert à rien.,This manager is hypocritical he is useless.
INFRA,L'alimentation perd des paquets erreur matérielle.,Power supply loses packets hardware error.
GOSSIP,Le chef est bête c'est hallucinant.,The boss is stupid it is mind-blowing.
ACCOUNTING,La déclaration de TVA n'est pas comptabilisé(e) dans les livres légaux.,The VAT return is not recorded in statutory books.
ACCOUNTING,Le lettrage est fausse avant l'audit.,Reconciliation is wrong before the audit.
HR_HIRING,Les stock-options est au-dessus du marché après la période d'essai.,Stock options is above market after probation.
HR_HIRING,Le télétravail est au-dessus du marché si tu signes demain.,Remote work is above market if you sign tomorrow.
BUSINESS,Le prospect va signer pour augmenter la marge.,The prospect will sign to increase margin.
CYBER,Payload malveillant mis en quarantaine niveau critique.,Malicious payload quarantined critical level.
GOSSIP,Elle est bizarre tout le monde le sait.,She is weird everyone knows it.
HR_HIRING,Le télétravail est compétitif avec une prime à la signature.,Remote work is competitive with a signing bonus.
TECH,L'argument lance une stacktrace fuite de mémoire.,The argument throws a stacktrace memory leak.
GOSSIP,Ce manager est bête c'est une blague.,This manager is stupid it's a joke.
GOSSIP,Il est hypocrite il sert à rien.,He is hypocritical he is useless.
ACCOUNTING,L'avoir client n'est pas comptabilisé(e) d'un point de vue comptable.,Customer credit note is not recorded from an accounting perspective.
ACCOUNTING,La déclaration de TVA est incorrecte sur l'exercice N-1.,The VAT return is incorrect on year N-1.
HR_COMPLAINT,Cette situation est une faute grave et j'ai vu la médecine du travail.,This situation is serious misconduct and I saw occupational health.
BUSINESS,Le chiffre d'affaires doit être relancé(e) selon le CRM.,Turnover must be followed up according to CRM.
GOSSIP,C'est une est bizarre c'est une blague.,She is a is weird it's a joke.
HR_HIRING,L'embauche est de 45k sur 13 mois.,The hiring is 45k over 13 months.
BUSINESS,Le pipeline doit être relancé(e) pour augmenter la marge.,The pipeline must be followed up to increase margin.
BANKING,Oppose le virement suite au vol.,Stop the transfer following theft.
TECH,L'API REST renvoie une erreur 404 fuite de mémoire.,The REST API returns a 404 error memory leak.
INFRA,Le processeur CPU perd des paquets erreur matérielle.,The CPU processor loses packets hardware error.
GOSSIP,Le chef est incompétent à la machine à café.,The boss is incompetent at the coffee machine.
TECH,Le build a échoué fuite de mémoire.,The build failed memory leak.
GOSSIP,Ce type est toxique c'est hallucinant.,This guy is toxic it is mind-blowing.
ACCOUNTING,Le grand livre est imputé(e) par erreur dans le journal des achats.,The general ledger is wrongly allocated in the purchase journal.
HR_HIRING,Ton salaire dépend de l'expérience pour ce poste senior.,Your salary depends on experience for this senior position.
CYBER,Tentative d'intrusion a été bloqué(e) exfiltration de données.,Intrusion attempt was blocked data exfiltration.
CYBER,Le firewall chiffre les données brute force.,The firewall encrypts data brute force.
TECH,La boucle while renvoie une erreur 404 paramètre manquant.,The while loop returns a 404 error missing parameter.
GOSSIP,Le chef est bizarre c'est une blague.,The boss is weird it's a joke.
ACCOUNTING,La provision montre un écart selon les normes IFRS.,The provision shows a discrepancy according to IFRS.
GOSSIP,Le chef est bizarre tout le monde le sait.,The boss is weird everyone knows it.
BANKING,Annule le débit sur le compte joint.,Cancel the debit on the joint account.
HR_COMPLAINT,Je signale me met en danger depuis des mois.,I report endangers me for months.
TECH,La variable est undefined à la ligne 42.,The variable is undefined at line 42.
HR_COMPLAINT,La pression me met en danger et j'ai vu la médecine du travail.,The pressure endangers me and I saw occupational health.
HR_COMPLAINT,Je signale porte atteinte à ma dignité immédiatement.,I report affects my dignity immediately.
TECH,Le script Python n'est pas typé(e) dans la librairie.,The Python script is not typed in the library.
HR_COMPLAINT,Je demande ne respecte pas le droit vis-à-vis de l'équipe.,I request does not respect the law regarding the team.
GOSSIP,Elle est bête à la machine à café.,She is stupid at the coffee machine.
ACCOUNTING,Le compte de résultat pose problème dans le logiciel SAP.,The income statement is problematic in SAP software.
CYBER,Le firewall contourne la sécurité patch de sécurité requis.,The firewall bypasses security security patch required.
BUSINESS,Le contrat va signer face à la concurrence.,The contract will sign against competition.
HR_HIRING,La voiture de fonction est validé(e) si tu signes demain.,Company car is validated if you sign tomorrow.
BANKING,Vérifie le débit tout de suite.,Check the debit immediately.
HR_HIRING,Les tickets resto sera versé(e) pour ce poste senior.,Meal vouchers will be paid for this senior position.
CYBER,Une faille XSS en cours par le WAF.,XSS vulnerability in progress by the WAF.
HR_COMPLAINT,Ma sécurité me met en danger et je saisis les prud'hommes.,My safety endangers me and I contact labor court.
BUSINESS,Le partenariat est gagné(e) selon le CRM.,The partnership is won according to CRM.
TECH,La fonction est déprécié(e) fuite de mémoire.,The function is deprecated memory leak.
TECH,La boucle while renvoie une erreur 404 erreur de syntaxe.,The while loop returns a 404 error syntax error.
ACCOUNTING,Le rapprochement bancaire est imputé(e) par erreur dans le journal des achats.,Bank reconciliation is wrongly allocated in the purchase journal.
HR_COMPLAINT,Le management est toxique immédiatement.,The management is toxic immediately.
LOVE,Ma belle. <3,My beauty. <3
INFRA,Le ventilateur est hors ligne ping élevé.,The fan is offline high ping.
HR_COMPLAINT,Je signale doit cesser depuis des mois.,I report must stop for months.
BUSINESS,Le closing est gagné(e) pour valider le budget.,The closing is won to validate budget.
LOVE,Ma belle.,My beauty.
BANKING,Valide la transaction sur le compte joint.,Validate the transaction on the joint account.
HR_COMPLAINT,La pression est une faute grave depuis des mois.,The pressure is serious misconduct for months.
ACCOUNTING,L'écriture comptable est imputé(e) par erreur sur l'exercice N-1.,The accounting entry is wrongly allocated on year N-1.
INFRA,Le routeur surchauffe sur le node 1.,The router is overheating on node 1.
TECH,L'argument ne compile pas paramètre manquant.,The argument does not compile missing parameter.
TECH,Le build renvoie une erreur 404 fuite de mémoire.,The build returns a 404 error memory leak.
GOSSIP,C'est un est incompétent c'est hallucinant.,He is a is incompetent it is mind-blowing.
TECH,La variable est déprécié(e) erreur de syntaxe.,The variable is deprecated syntax error.
BANKING,Confirme le paiement pour suspicion.,Confirm the payment for suspicion.
BANKING,Oppose le chèque sans contact.,Stop the check contactless.
HR_HIRING,La mutuelle sera versé(e) dans le contrat de travail.,Health insurance will be paid in the employment contract.
HR_COMPLAINT,Je dépose est inacceptable vis-à-vis de l'équipe.,I file is unacceptable regarding the team.
BUSINESS,La clause d'exclusivité va signer sur le marché US.,Exclusivity clause will sign on the US market.
BUSINESS,La négociation se termine demain pour le Q4.,The negotiation ends tomorrow for Q4.
TECH,Le script Python est en lecture seule sur la branche dev.,The Python script is read-only on dev branch.
CYBER,Attaque DDoS en cours niveau critique.,DDoS Attack in progress critical level.
HR_COMPLAINT,Je signale est inacceptable vis-à-vis de l'équipe.,I report is unacceptable regarding the team.
INFRA,L'alimentation est déconnecté sur le node 1.,Power supply is disconnected on node 1.
CYBER,Une faille XSS a été bloqué(e) par le WAF.,XSS vulnerability was blocked by the WAF.
BANKING,Rejette le plafond c'est une fraude.,Reject the limit it is a fraud.
ACCOUNTING,Le report à nouveau n'est pas comptabilisé(e) dans le logiciel SAP.,Retained earnings is not recorded in SAP software.
BANKING,Confirme le découvert je suis à découvert.,Confirm the overdraft I am overdrawn.
HR_HIRING,La prime est validé(e) sur 13 mois.,The bonus is validated over 13 months.
TECH,La requête HTTP provoque un segfault au runtime.,The HTTP request causes a segfault at runtime.
TECH,Le compilateur est undefined fuite de mémoire.,The compiler is undefined memory leak.
ACCOUNTING,Le report à nouveau n'est pas comptabilisé(e) dans le journal des achats.,Retained earnings is not recorded in the purchase journal.
BANKING,Valide le plafond code erroné.,Validate the limit wrong code.
BUSINESS,La clause d'exclusivité doit être relancé(e) pour le Q4.,Exclusivity clause must be followed up for Q4.
HR_COMPLAINT,L'ambiance est toxique et j'ai vu la médecine du travail.,The atmosphere is toxic and I saw occupational health.
INFRA,Le cluster perd des paquets sur le node 1.,The cluster loses packets on node 1.
HR_HIRING,L'embauche est trop bas(se) selon la grille RH.,The hiring is too low according to HR grid.
ACCOUNTING,Le compte de résultat pose problème sur l'exercice N-1.,The income statement is problematic on year N-1.
TECH,Le pointeur a échoué au runtime.,The pointer failed at runtime.
BANKING,Refuse le plafond sans contact.,Decline the limit contactless.
HR_HIRING,L'offre dépend de l'expérience avec une prime à la signature.,The offer depends on experience with a signing bonus.
GOSSIP,Ce manager est un fumiste tout le monde le sait.,This manager is a slacker everyone knows it.
INFRA,Le cluster ne répond plus coupure de courant.,The cluster is not responding power cut.
GOSSIP,Ce type est nul à chier tout le monde le sait.,This guy is absolutely useless everyone knows it.
